custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,tollten,equip,equipmon,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
5621-QSZPSF-NF2,Zone 4,"> 250,000",Female,59,50-64,July,19,College degree,Managerial and Professional,No,8,6 to 10,No,47,8.6,1.358112,0.3060955,2.683888,0.987266489,No,Neutral,Unmarried,Not married,Not married,1,7,3,0,0,0,0,0,4,Rent,Multiple-Family,14,8 to 15,3,Own,Domestic,28,Standard,No,Yes,Car,Single occupancy,17,Yes,No,No,Yes,No,No,No,No,No,No,No response,Moderate,No,No,Yes,Discover,Platinum,Other,No,16,More than 15,American Express,None,Other,No,17,More than 15,11,488.97,7,322.07,No,Cereal,50,Yes,8.55,446.55,No,0,0,Yes,31.2,1568.35,Yes,19,930,No,0,0,Yes,No,No,Cable modem,No,Yes,No,No,Yes,Yes,26,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
8241-PWPONH-62O,Zone 2,"2,500-9,999",,33,25-34,October,8,Did not complete high school,Sales and Office,No,4,2 to 5,No,19,0.9,0.130131,-2.039213644,0.040869,-3.19738345,No,Somewhat satisfied,Married,9,Did not complete high school,5,6,0,0,0,0,0,0,6,,Multiple-Family,5,4 to 7,2,Own,Import,9.3,Economy,No,Yes,Bus,Public transportation,28,Yes,No,No,Yes,No,No,No,Yes,No,No,Prices,Moderate,No,No,No,Mastercard,Gold,None,No,6,6 to 10,Visa,Gold,Airline miles,No,2,2 to 5,14,338.26,2,55.17,No,Cereal,9,Yes,3.6,37,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,None,No,No,No,No,No,Yes,27,No,Yes,Yes,No,No,No,No,No,No,No,No,No
8795-FYOXCT-P09,Zone 5,"50,000-249,999",Male,44,35-49,March,10,Did not complete high school,Managerial and Professional,No,12,11 to 15,No,73,2.8,1.250928,0.223885676,0.793072,-0.231841267,No,Highly satisfied,Unmarried,Not married,Not married,1,1,0,1,0,0,0,0,0,Own,Condominium/Townhouse,9,8 to 15,1,Own,Import,38.5,Standard,No,Yes,Car,Single occupancy,25,Yes,No,No,No,No,No,No,No,No,No,No response,Moderate,Yes,No,Yes,Discover,Other,None,Yes,1,Less than 2,American Express,Platinum,None,No,1,Less than 2,12,534.36,5,198.39,No,Cereal,5,No,6.75,29.9,No,0,0,No,0,0,Yes,7,30,No,0,0,No,No,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,21,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
1705-NMIQNO-IC4,Zone 3,"50,000-249,999",Male,99,,January,18,College degree,Managerial and Professional,No,3,2 to 5,No,63,10.5,1.924965,0.654907786,4.690035,1.545440045,No,Neutral,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Mobile Home,32,More than 25,0,N/A,N/A,-1,N/A,N/A,No,Carpool,Multiple occupancy,16,No,No,Yes,Yes,No,No,No,No,No,No,No response,Moderate,No,No,Yes,Discover,Platinum,Other,No,25,More than 15,Mastercard,Other,None,No,17,More than 15,10,593.5,5,384.94,Yes,Energy bar,58,No,12.1,680.75,Yes,30.75,1776.7,No,0,0,Yes,24.5,1415,No,0,0,Yes,No,No,None,Yes,No,Yes,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
9205-PAZEXY-90Q,Zone 2,"> 250,000",Female,72,>65,December,20,Post-undergraduate degree,Agricultural and Natural Resources,Yes,27,More than 15,Yes,17,9.8,1.276156,0.243852435,0.389844,-0.94200862,No,Somewhat satisfied,Married,17,College degree,2,0,0,0,0,0,0,0,0,Own,Single-family,14,8 to 15,1,Own,Import,9.3,Economy,No,No,Telecommute,Telecommute,32,No,No,No,Yes,No,No,No,No,No,Yes,No response,Slightly liberal,Yes,No,Yes,Mastercard,Gold,Cash back,No,33,More than 15,Discover,Other,Airline miles,Yes,26,More than 15,12,233.17,3,39.93,Yes,Cereal,67,No,13.9,954.05,No,0,0,Yes,38.55,2580.75,Yes,23.25,1525,No,0,0,Yes,No,No,None,No,No,Yes,No,Yes,Yes,24,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
4225-PZZDIY-IBH,Zone 3,"> 250,000",Female,66,>65,December,13,High school degree,"Operation, Fabrication, General Labor",Yes,31,More than 15,Yes,23,9.3,0.934743,-0.067483654,1.204257,0.185862779,No,Highly satisfied,Married,12,High school degree,2,9,3,0,0,0,0,0,6,Rent,Multiple-Family,29,More than 25,3,Own,Domestic,11.6,Economy,No,Yes,Car,Single occupancy,14,Yes,No,No,No,Yes,No,No,Yes,No,No,Convenience,Liberal,Yes,Yes,Yes,Mastercard,Platinum,Other,No,40,More than 15,Discover,Gold,None,No,30,More than 15,9,297.47,4,98.65,No,Oatmeal,72,No,38.7,2854.9,Yes,27,1919,No,0,0,Yes,68.5,4865,Yes,43.25,3159.25,Yes,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,No,Yes,22,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,No,No,Yes
0758-EQEGIQ-3OF,Zone 1,"> 250,000",Female,57,50-64,October,17,College degree,Agricultural and Natural Resources,No,24,More than 15,No,171,9.5,1.803195,0.589560091,14.441805,2.670127126,No,Highly satisfied,Married,16,Some college,3,1,0,1,0,0,0,0,0,Own,Single-family,8,8 to 15,2,Own,Import,75.8,Luxury,No,Yes,Car,Single occupancy,19,Yes,Yes,No,No,No,No,No,No,No,No,No response,Slightly conservative,Yes,No,No,Discover,None,None,No,19,More than 15,Mastercard,Gold,Other,No,13,11 to 15,14,305.94,4,96.23,Yes,Cereal,48,No,4.15,214.85,Yes,28.75,1444.65,Yes,43.15,1990.25,Yes,29.25,1315,Yes,40.2,1840.45,No,Yes,Yes,Cable modem,Yes,Yes,No,Yes,Yes,Yes,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
0649-TBFJFL-QU4,Zone 5,"50,000-249,999",Male,63,50-64,May,14,High school degree,"Operation, Fabrication, General Labor",Yes,29,More than 15,No,424,10.7,13.111352,2.57347842,32.256648,3.473724162,No,Somewhat satisfied,Married,20,Post-undergraduate degree,2,0,0,0,0,0,0,0,0,,Condominium/Townhouse,29,More than 25,3,Own,Domestic,88.6,Luxury,No,Yes,Car,Single occupancy,29,Yes,No,No,No,Yes,No,No,No,No,Yes,No response,Slightly liberal,No,No,Yes,Mastercard,Platinum,Cash back,No,36,More than 15,Visa,Platinum,Airline miles,Yes,29,More than 15,10,495.75,10,798.31,No,Energy bar,70,No,34.8,2540.15,Yes,45.25,3165.45,No,0,0,Yes,19.75,1325,No,0,0,Yes,Yes,No,None,Yes,No,Yes,Yes,Yes,Yes,24,Yes,Yes,Yes,,No,No,No,No,Yes,No,No,No
2228-KOLOPU-FY3,Zone 5,"< 2,500",Female,28,25-34,April,11,Did not complete high school,Managerial and Professional,No,4,2 to 5,No,23,4.8,0.190992,-1.655523737,0.913008,-0.091010636,No,Highly dissatisfied,Married,12,High school degree,3,10,1,0,0,0,0,0,9,Own,Single-family,5,4 to 7,0,N/A,N/A,-1,N/A,N/A,Yes,Bus,Public transportation,30,No,No,No,Yes,No,No,No,No,No,Yes,No response,Slightly conservative,Yes,No,No,Visa,Gold,Other,No,10,6 to 10,Mastercard,Platinum,Airline miles,No,10,6 to 10,17,442.09,7,144.69,Yes,Energy bar,34,No,3.45,110.45,Yes,33,1099.65,No,0,0,Yes,16.5,545,No,0,0,No,No,No,None,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
3853-NVDCOJ-TIN,Zone 1,"> 250,000",Female,78,>65,June,16,Some college,Managerial and Professional,No,10,6 to 10,Yes,22,15.2,0.692208,-0.36786879,2.651792,0.975235638,No,Neutral,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Rent,Single-family,29,More than 25,2,Own,Import,10.8,Economy,No,Yes,Carpool,Multiple occupancy,23,Yes,No,Yes,No,No,No,No,No,No,No,No response,Liberal,No,Yes,No,Visa,Platinum,None,No,10,6 to 10,Mastercard,Gold,Cash back,No,7,6 to 10,1,8.11,0,0,Yes,Energy bar,14,No,7.3,85.6,No,0,0,Yes,24.85,341.75,Yes,31.75,350,No,0,0,Yes,No,No,Dial-up,No,No,No,No,Yes,Yes,22,Yes,Yes,No,,Yes,Yes,No,No,No,No,No,No
0765-UXAFYM-PDR,Zone 3,"10,000-49,999",Male,61,50-64,June,16,Some college,Managerial and Professional,No,4,2 to 5,No,35,10.1,1.233715,0.210029943,2.301285,0.833467663,No,Neutral,Married,12,High school degree,2,0,0,0,0,0,0,0,0,Rent,Multiple-Family,29,More than 25,4,Lease,Domestic,9.4,Economy,Yes,No,Car,Single occupancy,34,Yes,No,No,Yes,No,No,No,No,No,No,No response,Liberal,No,No,No,American Express,Other,None,No,27,More than 15,Discover,Gold,Airline miles,No,15,11 to 15,8,271.98,7,240.38,No,Cereal,53,No,11.2,567.05,No,0,0,No,0,0,Yes,9.5,480,No,0,0,No,Yes,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,25,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
9937-SFPLRK-H9Y,Zone 2,"2,500-9,999",,70,>65,September,17,College degree,Sales and Office,Yes,2,2 to 5,No,28,9.3,1.195236,0.178343655,1.408764,0.342712724,No,Highly dissatisfied,Married,17,College degree,2,9,0,0,1,0,0,0,8,,Multiple-Family,14,8 to 15,5,Own,Domestic,15.7,Economy,No,Yes,Car,Single occupancy,29,Yes,No,No,No,No,No,No,No,No,No,No response,Conservative,Yes,No,Yes,American Express,None,Airline miles,Yes,26,More than 15,Discover,Gold,Other,No,17,More than 15,8,267.71,3,79.54,Yes,Oatmeal,59,Yes,14.25,805.8,Yes,23.5,1366.65,No,0,0,Yes,15.25,840,No,0,0,Yes,No,Yes,Cable modem,No,Yes,No,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No
0712-WQXYVV-HUP,Zone 4,"> 250,000",Male,61,50-64,April,14,High school degree,"Operation, Fabrication, General Labor",No,18,More than 15,Yes,12,21.5,0.56502,-0.57089415,2.01498,0.70060927,No,Highly satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,12,8 to 15,3,Own,Domestic,5.8,Economy,Yes,No,Bus,Public transportation,25,Yes,No,No,Yes,No,No,No,No,No,No,No response,Slightly liberal,Yes,No,No,American Express,None,Cash back,No,24,More than 15,Mastercard,Platinum,None,No,22,More than 15,10,245.03,4,63.63,No,Oatmeal,61,No,8.35,476.95,No,0,0,Yes,29.1,1790.8,Yes,11.5,675,No,0,0,No,No,No,Cable modem,No,Yes,No,No,No,Yes,13,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No
6441-FJUWZQ-7G8,Zone 3,"2,500-9,999",Male,37,35-49,August,11,Did not complete high school,Managerial and Professional,Yes,2,2 to 5,No,29,15.7,3.319137,1.199704809,1.233863,0.210149898,Yes,Neutral,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,10,8 to 15,0,N/A,N/A,-1,N/A,N/A,Yes,Train/Subway,Public transportation,29,No,No,No,Yes,Yes,No,No,No,No,No,No response,Moderate,No,No,No,Other,None,Cash back,Yes,12,11 to 15,Discover,Gold,Cash back,No,11,11 to 15,17,556.61,7,187.47,Yes,Energy bar,39,No,13.1,504.45,Yes,28.5,1028.1,Yes,43.5,1663.95,Yes,10.5,380,Yes,31.5,1199.2,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,21,No,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,No,No
7634-AVNEXZ-7AG,Zone 1,"10,000-49,999",,39,35-49,October,12,High school degree,Managerial and Professional,No,5,2 to 5,No,130,11.3,4.68611,1.544602814,10.00389,2.302974017,No,Highly satisfied,Married,14,High school degree,4,5,0,0,0,0,0,0,5,Own,Single-family,12,8 to 15,2,Own,Domestic,49.2,Luxury,Yes,No,Car,Single occupancy,32,Yes,No,No,Yes,Yes,No,No,No,No,No,No response,Extremely liberal,Yes,Yes,Yes,Discover,Other,Other,Yes,2,2 to 5,Mastercard,Gold,Cash back,No,1,Less than 2,12,453.74,5,245.14,No,Energy bar,6,No,1.5,11.15,Yes,13.25,93,No,0,0,Yes,24.5,140,No,0,0,No,No,No,Dial-up,Yes,No,Yes,Yes,No,Yes,32,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
2041-PNMGHX-TXJ,Zone 4,"10,000-49,999",Female,73,>65,November,14,High school degree,Service,No,28,More than 15,Yes,69,14.8,1.164168,0.152006669,9.047832,2.202525171,No,Neutral,Married,15,Some college,2,0,0,0,0,0,0,0,0,Rent,Multiple-Family,38,More than 25,1,Own,Import,22.8,Standard,Yes,No,Car,Single occupancy,27,Yes,No,No,Yes,No,No,No,Yes,No,No,No response,Slightly conservative,No,No,No,Visa,Gold,Airline miles,No,32,More than 15,Mastercard,Gold,Other,Yes,24,More than 15,6,212.67,2,80.44,No,Cereal,62,No,25.45,1565.6,Yes,17.75,1031.4,Yes,47.15,2874.15,Yes,10,595,Yes,53.2,3245.6,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
4626-BQZAUJ-V9K,Zone 5,"2,500-9,999",Female,26,25-34,June,16,Some college,Sales and Office,No,0,Less than 2,No,24,11.7,1.297296,0.260282098,1.510704,0.412575767,Yes,Somewhat dissatisfied,Married,17,College degree,6,1,0,1,0,0,0,0,0,Rent,Multiple-Family,5,4 to 7,4,Lease,Domestic,9.8,Economy,No,No,Car,Single occupancy,27,Yes,No,No,No,No,No,No,No,No,No,No response,Conservative,Yes,Yes,No,Discover,None,None,Yes,8,6 to 10,American Express,Gold,Airline miles,No,4,2 to 5,14,447.67,5,101,Yes,Cereal,26,Yes,5.8,149.4,No,0,0,Yes,27.05,728.55,Yes,5.5,145,No,0,0,Yes,No,No,Other,No,No,No,No,Yes,Yes,17,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
2969-ODPCDX-5DC,Zone 2,"> 250,000",Female,99,,April,17,College degree,"Operation, Fabrication, General Labor",No,1,Less than 2,No,29,14,1.39258,0.331158142,2.66742,0.981111713,Yes,Highly dissatisfied,Unmarried,Not married,Not married,1,12,0,1,0,0,0,0,11,Own,Single-family,4,4 to 7,0,N/A,N/A,-1,N/A,N/A,No,Telecommute,Telecommute,14,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No response,Conservative,No,Yes,Yes,Discover,None,Other,No,5,2 to 5,Mastercard,Platinum,None,No,5,2 to 5,11,279.95,1,24.55,Yes,Energy bar,11,Yes,3.95,42.4,No,0,0,Yes,19.65,172.75,No,0,0,No,0,0,No,No,No,None,No,No,No,No,No,Yes,13,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No
4974-FUBHDF-Z7L,Zone 3,"> 250,000",Female,77,>65,May,15,Some college,Managerial and Professional,No,26,More than 15,Yes,11,10.2,0.255816,-1.363296843,0.866184,-0.143657922,No,Highly satisfied,Unmarried,Not married,Not married,1,2,0,2,0,0,0,0,0,Own,Mobile Home,57,More than 25,2,Own,Domestic,3.1,Economy,No,No,Car,Single occupancy,21,Yes,No,No,Yes,Yes,No,No,No,No,No,No response,Liberal,Yes,Yes,No,Visa,None,None,No,39,More than 15,Discover,Other,None,No,30,More than 15,10,194.95,5,107.06,Yes,Oatmeal,72,No,89.45,6495.7,Yes,75.5,5310.55,No,0,0,Yes,40.75,2865,No,0,0,Yes,No,No,None,Yes,Yes,No,No,No,Yes,23,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
2525-OSULNV-0KS,Zone 5,"10,000-49,999",Male,36,35-49,March,19,College degree,Managerial and Professional,Yes,3,2 to 5,No,,15.5,0.41385,-0.88225169,4.23615,1.443654838,No,Somewhat satisfied,Unmarried,Not married,Not married,1,7,0,0,0,0,0,0,7,Own,Condominium/Townhouse,16,16 to 25,3,Own,Domestic,13.1,Economy,No,Yes,Car,Single occupancy,24,Yes,Yes,No,No,No,No,No,No,No,No,No response,Extremely liberal,Yes,Yes,Yes,American Express,None,Airline miles,No,10,6 to 10,Visa,None,Other,No,11,11 to 15,11,300.97,6,178.9,No,Cereal,37,No,6.7,233.85,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,DSL,No,No,No,No,No,Yes,15,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
4973-FHPBZQ-AAA,Zone 3,"< 2,500",Male,55,50-64,December,14,High school degree,Service,No,23,More than 15,No,80,6.5,0.0312,-3.467337184,5.1688,1.642640553,No,Highly satisfied,Unmarried,Not married,Not married,1,9,2,0,0,0,0,0,7,Own,Condominium/Townhouse,27,More than 25,4,Own,Domestic,35,Standard,No,Yes,Car,Single occupancy,25,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No response,Conservative,No,No,No,Visa,Other,Airline miles,Yes,21,More than 15,Discover,Platinum,Cash back,No,17,More than 15,11,394.02,3,71.41,No,Energy bar,47,No,12.25,524.4,No,0,0,No,0,0,Yes,22.25,1000,No,0,0,No,No,No,None,No,No,Yes,Yes,No,Yes,25,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
